review_date,review_rating,review_content,useful_count,funny_count,cool_count,author,author_location,author_reviews_count,photo_count,friend_count,url,author_page
9/6/2017,3.0,"Strolled into Urban Farmer for lunch and decided to sit around the bar since I was flying solo today. I was greeted pretty quickly with a glass of water. First glance at the menu, this place is pretty pricey. After some debate, I decided to go with the Beef Tenderloin Chili Mac. One, I'm a carb lover. Two, I love chili. This dish was yummy. The beef tenderloin was so... dare I say it? Tender. The chili was the perfect amount of savory. It could maybe use a bit more kick or spice, but that's just me. It was the perfect portion to be satisfied and not overstuffed. I don't know if I'll stroll into Urban Farmer again, but at least this visit wasn't disappointing.",1,1,1,Michelle L.,"Houston, TX",101,75,331,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=L3OpE2GTvELy4CVcoATStg
5/21/2017,3.0,"The food here is very mediocre and over priced. The service is also very slow. Came here because we had a company event in the hotel so we had to eat here a few days in a row. The first night I ordered the local greens salad and oxtail soup. The salad was very boring and a very small portion for the price. The oxtail soup hardly had any meat in it, it wasn't filling at all and it didn't taste very good either. My coworker ordered a burger and they accidentally left the paper that separates the patties on on it. He had a mouth full of paper in his first bite. After he told them they apologized and took it off our bill. The next day we had breakfast there and the service was incredibly slow. I ordered an omelette and side of fruit. It was pretty good but the portions seemed really small.",1,2,0,Joanne C.,"Northridge, CA",183,321,70,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=RwVMtlo9TTH9i6A08V71bg
9/17/2017,4.0,"This is a really nice upscale downtown restaurant with a lot of unique drink options and high end liquors and wines. I brought some clients for a night out before a ball game and had a great experience. They have many grass fed, grain fed, dry aged or American Wagyu options. It was nice that Wagyu came in various cuts. Many high end places only give one option. I tried the ribeye and really enjoyed it. Great marveling and cooked to a perfect medium rare. Everyone else in my group got the steak sampler. Which gave 3 - 6 oz. ny Strip steaks with an option to add a 4th Wagyu option. Everyone in my group other than myself got this. It has grass fed, grain fed, 21 day dry aged grain fed and the adder of Wagyu. Massive amount of food. The grass fed was the least favorite option which makes sense but great to get to see what everyone truly likes best. Great scientific research. We also got the cheese charcuterie which was a good selection of various cheeses and honey. We also got the beef tartar which I had never had before. Visually it isn't appealing and not sure how it could be with raw meat in it but the taste was great. Definitely a place I would return to and a place to impress. The setup inside was very well thought out and very visually appealing. I liked how the menu also showed the farms and the states where the beef came from. Very cool that there were some local options. Try it out, be very hungry and just get the Wagyu you'll be glad you did.",0,0,0,Jamin F.,"Charleston, WV",73,71,61,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=tuWfuUu3P0Wu_k4E4BjXgw
9/5/2017,5.0,"An other excellent meal at The Urban Farmer this last weekend! The first time we visited was for Sunday brunch and we immediately decided that we needed to come back for dinner. We arrived Saturday evening and noted a positive vibe in the dinning room, couples to small groups enjoying a night out on the town. The decor is nice, clean and not your typical wood and leather steak house look, pictures of local food suppliers on the wall and a beautiful display of preserved food making up a room divide. Seated right away in a nice booth and menus where brought out quickly. Well rounded drink menu with a extensive selection of whiskey, tequila, cordials and wines that sound meet most dinners wants. We started with a dozen oysters on the half shell, a mix of east and west coast, that were fresh and cleanly shucked. Our main course selection was a local sourced steak from Madison, Oh. Mine was served up a perfect rare plus while my wife's was on the temperature mark of medium. Both steaks were tasty, properly cooked and seasoned just right. We split side dishes of mushrooms and a seasonal blistered beans. I would happily order these sides again. We ended the meal with a selection of cheeses that were served up table side. It was nice to be able to sample the varieties before making the final selection and having a enthusiastic server helping on the selection process.",0,0,0,Thomas W.,"Bay Village, OH",52,0,4,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=9pVyVvwwBEi0xv-OgCnlag
12/1/2017,5.0,"I ate here recently and had a great experience.   The service was very attentive and kind.   Our meal was so enjoyable.   Here's what we had, bone marrow, steak tartar, squid, 24 ounce steak, cheese plate appetizer, potatoes, and mushrooms.   To drink we had a bourbon (great selection) and bottle of Malbec.    There is nothing we would have changed.   The bill for our meal was not cheap but it was worth it.   Try this place if you've never been.  Enjoy!  Btw, there was four of us.",0,0,0,John G.,"Brecksville, OH",2,2,0,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=hgcqbQ9br5Rn5WoFl3mEjA
3/20/2017,4.0,"While visiting my girlfriends family in Cleveland we decided on Urban Farmer for brunch after 8am Mass.  The space is beautiful with nice banquettes and booths throughout the restaurant. We were seated and greeted promptly by our waiter.  After perusing the menu I decided on the Sirloin eggs Benedict and added a crispy potato cake on the side.  The eggs on the benedict were perfectly poached, the hollandaise nice and flavorful, the sirloin was cut super thin like how roast beef is sliced on a deli slicer. The housemade english muffin was good, however I thought it was too dense. The potato cake was delicious and it soaked up my runny yolk from the poached eggs. Overall a good experience  and I will be back.",3,1,3,Bill E.,"Delaware, OH",422,643,140,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=z1UrbSoWK5-h4nOfMpoliw
2/25/2017,4.0,"Had a nice relaxed Saturday lunch last weekend and thoroughly enjoyed this place. The atmosphere is laid back casual and trendy with huge glass windows looking out two sides on a downtown corner. It is attached to the Westin Hotel. The service was attentive without being overbearing and the suggestions made were spot on for what we were there for. They cook from scratch and use locally sourced fresh ingredients, which always excites me. They make their own English muffins that they also serve their burger on. This sounded interesting and we had to try it! We ordered the burger medium and it came out pink, juicy and perfectly seasoned. The muffin was delicious but a bit dense, thick and a tad over powering for the burger. I wish it had had more aioli on it as well, it was lost under the rest of the burger. We were planning to split it and they kindly cut it and served it on two plates with two small bowls of fries... so thoughtful and appreciated! It also came with pickled vegetables which in my opinion were a home run. They nicely cut the rich fats of the burger. So Good! They had a Bloody Mary bar, and I had to have one. I liked the garnishes I chose, especially the chunks of bacon and pickled green tomatoes. The prices were a bit high. I do understand that it's attached to a hotel which tends to bump prices a bit, this just still seemed a little out of typical range. I would definitely recommend a visit and will likely return!",5,3,1,Kristen M.,"Mentor, OH",163,396,9,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=EtxsD-Jbyxh7TsaWHtGCew
2/12/2017,5.0,"I don't always give 5 stars but this place killed it! Sunday brunch started with the mimosa bar- to note there is also a Bloody Mary bar, but we decided to go the champagne route. Selection of juices, purees (get the strawberry) and fruit to go along with it!For the starters we ordered the smoked fish which was salmon. Absolutely amazing and the add ins it came with were great. I think there were onions soaked on beer juice if I was correct for one of the items which was so different! We shared with 4 people but I easily could've gotten this for myself as a main meal and been overly satisfied.Next let's talk about the Benedicts- HUGE!!!! Easily the size of a bagel in diameter per piece. I had the avocado and my boyfriend had the sirloin steak which was loaded with meat that was sliced thin and cooked perfectly. We also ordered steak and eggs which was good, came with sausage gravy which was the lighter color with chunks that i prefer over the darker ones. The ""breakfast potatoes"" was a hash brown type as you would get at mcdonalds, but wayyy better and perfectly crispy on the outside.We also got the French toast to share which I thought was good but I'm not a huge sweets with breakfast person (with hazelnut and blueberries). Again 4 HUGE pieces. My dad also (we eat a lot haha) got the duck confit and could not stop raving about the duck.This place will not be a ""one and done"" wouldLove to try dinner or lunch!The inside was had very neat decor and a bar that looked stocked with an extensive whiskey selection. This place is also attached to the hotel ( we did not stay at the hotel or go to the bar though, so can't comment there)",3,1,2,Gabrielle G.,"Willoughby, OH",139,20,34,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=XsKL7KGNXL1r_YTxXuUWkA
10/24/2017,3.0,"Came here for lunch and had their burger. The burger was cooked perfectly and came with really good pickles and fries. It wasn't better than most other craft burger places, but was good nonetheless. Service was good. I will definitely try this place again for dinner, looking forward to it.",0,0,0,Clipper F.,"Westminster, CA",53,210,3,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=SrzGh7sORpac4-_Ekmu6ZQ
7/23/2017,5.0,"Absolutely fantastic! We were in town, for a work event, and needed some good food/experience to start the night off properly! This did not disappoint, and delivered an amazing experience for both my employee and me. The cheese plate was an unexpected compliment to a fabulous dinner service. I need to find out where they get that brie with the custom made rind... as it was perfectly balanced and one of the best cheeses I've had in a while. Oh yeah - the cornbread in a can - knocks it out of the park! Ask for it right away, when you sit down :)I ordered the scallop dish, and it was well balanced with fat/acid/crunch/softness/chew, etc. Brilliant dish! Scallops are too often taken for granted, and the accompanying salad and sauce made them shine! Good plate chef, thank you. My tech got the walleye and it was cooked to perfection, and seasoned properly too. Everything we had was spot on, and I don't think our water glass got below half full, before they filled it each and every time. We also tried the oyster app, and the Chevre Toast app... which started off the flavorful experience right! Highly suggest the Chevre Toast to start the night off right. happy customer, and will be back for sure! Keep it up UF team!",2,0,0,Tony B.,"Columbus, OH",49,42,85,https://www.yelp.com/biz/urban-farmer-cleveland-2,https://www.yelp.com/user_details?userid=0aAEsK-QibRz8D2hcqEGHA
